phase,arm,baseline_arm,records,all_tracked_exact_n,all_tracked_exact_rate,all_tracked_wilson_low,all_tracked_wilson_high,decision_fields_exact_rate,route_exact_rate,valid_five_runs_rate,paired_gains,paired_losses,exact_mcnemar_p
development_v1.1.0,A0,A0,60,36,0.6,0.4736605349204075,0.7143050946511744,0.6333333333333333,0.9166666666666666,0.9833333333333333,,,
development_v1.1.0,M,A0,60,36,0.6,0.4736605349204075,0.7143050946511744,0.6333333333333333,0.9166666666666666,0.9833333333333333,8,8,1.0
development_v1.1.0,D,A0,60,36,0.6,0.4736605349204075,0.7143050946511744,0.6166666666666667,0.9166666666666666,0.9833333333333333,1,1,1.0
development_v1.1.0,M+D,A0,60,36,0.6,0.4736605349204075,0.7143050946511744,0.6166666666666667,0.9166666666666666,0.9833333333333333,9,9,1.0
development_v1.2.0,A0,A0,60,36,0.6,0.4736605349204075,0.7143050946511744,0.6333333333333333,0.9166666666666666,0.9833333333333333,,,
development_v1.2.0,S,A0,60,49,0.8166666666666667,0.7008024625353194,0.8944220311080237,0.85,0.9333333333333333,1.0,17,4,0.007197380065917969
development_v1.2.0,C,A0,60,38,0.6333333333333333,0.5068300063010303,0.7437908331277456,0.6333333333333333,0.9,0.9833333333333333,3,1,0.625
development_v1.2.0,S+C,A0,60,52,0.8666666666666667,0.7583484032350039,0.9308589051941303,0.8666666666666667,0.9333333333333333,1.0,20,4,0.001543879508972168
development_v1.3.0,S+C,S+C,60,52,0.8666666666666667,0.7583484032350039,0.9308589051941303,0.8666666666666667,0.9333333333333333,1.0,,,
development_v1.3.0,T+C,S+C,60,58,0.9666666666666667,0.886362257256914,0.9908106807438021,0.9666666666666667,0.9833333333333333,1.0,8,2,0.109375
development_v1.3.1,T+C,T+C,60,58,0.9666666666666667,0.886362257256914,0.9908106807438021,0.9666666666666667,0.9833333333333333,1.0,,,
development_v1.3.1,R+C,T+C,60,57,0.95,0.8629948352365147,0.9828504978356043,0.95,0.9833333333333333,1.0,2,3,1.0
sealed_holdout_v1.4.0-rc1,A0,A0,60,29,0.48333333333333334,0.36175049539732784,0.6069218996740751,0.55,0.7833333333333333,0.95,,,
sealed_holdout_v1.4.0-rc1,RC1,A0,60,48,0.8,0.6821819419437211,0.8817149467710251,0.8,0.8333333333333334,0.9833333333333333,21,2,6.604194641113281e-05
