version_candidate_id,preprint_record_id,preprint_doi,publisher_record_id,publisher_doi,exact_normalized_title_match,crossref_relation_types,curated_linkage_evidence,candidate_basis,verification_status,provisional_canonical_record_id,synthesis_action
version_candidate_001,doi:10.1101/2025.10.29.685384,10.1101/2025.10.29.685384,doi:10.1002/advs.202521633,10.1002/advs.202521633,false,,matching_authors_and_research_target,curated_bibliographic_match,confirmed_bibliographic_version_match,doi:10.1002/advs.202521633,use_publisher_report_after_version_confirmation
version_candidate_002,doi:10.1101/153205,10.1101/153205,doi:10.1016/j.devcel.2018.09.001,10.1016/j.devcel.2018.09.001,false,has-preprint,,crossref_relation,confirmed_crossref_relation,doi:10.1016/j.devcel.2018.09.001,use_publisher_report_after_version_confirmation
version_candidate_003,doi:10.1101/2023.07.09.548232,10.1101/2023.07.09.548232,doi:10.1038/s41467-024-52909-y,10.1038/s41467-024-52909-y,false,has-preprint|is-preprint-of,,crossref_relation,confirmed_crossref_relation,doi:10.1038/s41467-024-52909-y,use_publisher_report_after_version_confirmation
version_candidate_004,doi:10.1101/2024.07.26.605278,10.1101/2024.07.26.605278,doi:10.1038/s41556-025-01804-9,10.1038/s41556-025-01804-9,true,is-preprint-of,,crossref_relation,confirmed_crossref_relation,doi:10.1038/s41556-025-01804-9,use_publisher_report_after_version_confirmation
version_candidate_005,doi:10.1101/2024.01.16.575677,10.1101/2024.01.16.575677,doi:10.1038/s41593-025-01889-3,10.1038/s41593-025-01889-3,false,has-preprint|is-preprint-of,,crossref_relation,confirmed_crossref_relation,doi:10.1038/s41593-025-01889-3,use_publisher_report_after_version_confirmation
version_candidate_006,doi:10.1101/2020.11.02.364760,10.1101/2020.11.02.364760,doi:10.1038/s41598-022-07397-9,10.1038/s41598-022-07397-9,false,,matching_authors_and_research_target,curated_bibliographic_match,confirmed_bibliographic_version_match,doi:10.1038/s41598-022-07397-9,use_publisher_report_after_version_confirmation
version_candidate_007,doi:10.1101/2021.01.22.427837,10.1101/2021.01.22.427837,doi:10.1038/s43587-021-00159-8,10.1038/s43587-021-00159-8,false,,matching_authors_and_research_target,curated_bibliographic_match,confirmed_bibliographic_version_match,doi:10.1038/s43587-021-00159-8,use_publisher_report_after_version_confirmation
version_candidate_008,doi:10.21203/rs.3.rs-2815300/v1,10.21203/rs.3.rs-2815300/v1,doi:10.1038/s43587-023-00538-3,10.1038/s43587-023-00538-3,false,has-preprint|is-preprint-of,,crossref_relation,confirmed_crossref_relation,doi:10.1038/s43587-023-00538-3,use_publisher_report_after_version_confirmation
version_candidate_009,doi:10.1101/2024.05.03.592475,10.1101/2024.05.03.592475,doi:10.1038/s43587-026-01069-3,10.1038/s43587-026-01069-3,true,has-preprint|is-preprint-of,,crossref_relation,confirmed_crossref_relation,doi:10.1038/s43587-026-01069-3,use_publisher_report_after_version_confirmation
version_candidate_010,doi:10.1101/2023.06.21.545894,10.1101/2023.06.21.545894,doi:10.1038/s44319-025-00416-6,10.1038/s44319-025-00416-6,true,has-preprint|is-preprint-of,,crossref_relation,confirmed_crossref_relation,doi:10.1038/s44319-025-00416-6,use_publisher_report_after_version_confirmation
