all_nodes_grounded,document_id,document_scope_nodes,doi,evidence_quote_exact_fraction,evidence_quote_normalized_fraction,evidence_quotes,evidence_quotes_exact,evidence_quotes_normalized,graph_edges,graph_hash_valid,graph_nodes,grounded_nodes,model_quotes_require_source_resolution,observed_nodes,provenance_hash_valid,status,unresolved_nodes,verbatim_nodes
True,doi_def153153292e09c,4,10.1001/jamapsychiatry.2024.1429,0.7837837837837838,0.8648648648648649,37,29,32,20,True,21,21,True,0,True,success,0,17
True,doi_26612e7f7d589ab5,4,10.1002/advs.202502249,0.6808510638297872,0.7659574468085106,47,32,36,23,True,24,24,True,0,True,success,0,20
True,doi_5704cf32dffbadcf,6,10.1002/advs.202514269,0.8,0.8,20,16,16,14,True,15,15,True,0,True,success,0,9
True,doi_3f3aeee2c0542606,4,10.1002/advs.202515370,0.9259259259259259,0.9259259259259259,27,25,25,16,True,17,17,True,0,True,success,0,13
True,doi_e58973540cb0858a,5,10.1002/advs.202521633,0.8636363636363636,0.9090909090909091,22,19,20,15,True,16,16,True,0,True,success,0,11
True,doi_8403d59885abe958,6,10.1002/ccs3.70045,0.8333333333333334,0.9166666666666666,24,20,22,12,True,13,13,True,0,True,success,0,7
True,doi_64f83a5a55d8c29d,5,10.1002/ctm2.70527,0.9444444444444444,0.9444444444444444,18,17,17,14,True,15,15,True,0,True,success,0,10
True,doi_0fdf1fe178e02028,5,10.1002/fsn3.71826,0.45454545454545453,0.8181818181818182,11,5,9,7,True,8,8,True,0,True,success,0,3
True,doi_df9c04fe3eee2ae2,1,10.1002/imo2.70128,0.9285714285714286,1.0,14,13,14,10,True,11,11,True,0,True,success,0,10
True,doi_532149ab73857cb9,3,10.1002/imt2.70150,0.8260869565217391,0.8260869565217391,23,19,19,13,True,14,14,True,0,True,success,0,11
True,doi_aa95b1781951b0d0,3,10.1007/s10753-026-02526-2,0.46153846153846156,0.8461538461538461,13,6,11,7,True,8,8,True,0,True,success,0,5
True,doi_1567b42f384d1b6b,2,10.1007/s11306-023-02022-w,0.6363636363636364,0.7272727272727273,11,7,8,8,True,9,9,True,0,True,success,0,7
True,doi_24094b90a58a9e3c,4,10.1007/s13238-021-00894-z,0.9047619047619048,1.0,21,19,21,14,True,15,15,True,0,True,success,0,11
True,doi_d6b8a2976255b1df,6,10.1016/j.ccell.2024.09.002,0.8064516129032258,0.8064516129032258,31,25,25,19,True,20,20,True,0,True,success,0,14
True,doi_32772415017189df,4,10.1016/j.celrep.2024.115099,0.46875,1.0,32,15,32,18,True,19,19,True,0,True,success,0,15
True,doi_d31ae414f9d4401c,5,10.1016/j.celrep.2025.116795,0.7,0.7666666666666667,30,21,23,17,True,18,18,True,0,True,success,0,13
True,doi_d83dc5cb41628ad5,6,10.1016/j.cels.2021.09.005,0.8518518518518519,0.8518518518518519,27,23,23,20,True,21,21,True,0,True,success,0,15
True,doi_07a342ceebdda1f4,4,10.1016/j.devcel.2023.05.015,0.8648648648648649,0.9459459459459459,37,32,35,19,True,20,20,True,0,True,success,0,16
True,doi_7dc2770675d5f172,4,10.1016/j.exger.2025.112815,0.6666666666666666,0.75,12,8,9,7,True,8,8,True,0,True,success,0,4
True,doi_edc5e71c0bdda748,4,10.1016/j.jare.2026.07.047,0.8571428571428571,0.8928571428571429,28,24,25,16,True,17,17,True,0,True,success,0,13
True,doi_882aca60005956c9,5,10.1016/j.jhazmat.2026.142949,0.3333333333333333,0.5238095238095238,21,7,11,12,True,13,13,True,0,True,success,0,8
True,doi_274d16bcef60fa06,1,10.1016/j.jnutbio.2023.109498,0.8181818181818182,0.8636363636363636,22,18,19,12,True,13,13,True,0,True,success,0,12
True,doi_884c15a783634c31,5,10.1016/j.jot.2025.05.010,0.4782608695652174,0.8260869565217391,23,11,19,11,True,12,12,True,0,True,success,0,7
True,doi_fbbf04a8a499f7a7,3,10.1016/j.mcpro.2024.100882,0.7058823529411765,0.7058823529411765,17,12,12,9,True,10,10,True,0,True,success,0,7
True,doi_7624588d3676bfc5,7,10.1016/j.phymed.2025.156697,0.2,0.5,30,6,15,14,True,15,15,True,0,True,success,0,8
True,doi_2269b478af24b875,1,10.1016/j.psj.2026.107043,0.7857142857142857,0.8571428571428571,14,11,12,8,True,9,9,True,0,True,success,0,8
True,doi_a5ca885d7050ff94,14,10.1016/j.ymthe.2025.12.035,0.8,0.8571428571428571,35,28,30,22,True,23,23,True,0,True,success,0,9
True,doi_a4bbea2e07b0c1db,3,10.1038/s41392-026-02799-x,0.625,0.625,24,15,15,20,True,21,21,True,0,True,success,0,18
True,doi_af10f681ac31970c,6,10.1038/s41413-025-00422-3,0.6086956521739131,0.6086956521739131,23,14,14,15,True,16,16,True,0,True,success,0,10
True,doi_c3af69f51ad80964,5,10.1038/s41421-025-00860-7,0.6944444444444444,0.6944444444444444,36,25,25,18,True,19,19,True,0,True,success,0,14
True,doi_6b523b6e6aa043ca,3,10.1038/s41438-020-00420-y,0.5714285714285714,0.5714285714285714,14,8,8,8,True,9,9,True,0,True,success,0,6
True,doi_52429b4b853a6782,6,10.1038/s41467-021-23545-7,0.6818181818181818,0.6818181818181818,22,15,15,16,True,17,17,True,0,True,success,0,11
True,doi_c1b7e582e69cfca7,9,10.1038/s41467-023-37729-w,0.4375,0.5625,48,21,27,21,True,22,22,True,0,True,success,0,13
True,doi_5b5f58258cf21217,11,10.1038/s41467-024-46037-w,0.6590909090909091,0.6818181818181818,44,29,30,23,True,24,24,True,0,True,success,0,13
True,doi_cb894aff77cd5c89,6,10.1038/s41467-024-52967-2,0.6666666666666666,0.75,24,16,18,18,True,19,19,True,0,True,success,0,13
True,doi_011661015dd72124,3,10.1038/s41467-025-59964-z,0.7222222222222222,0.7222222222222222,18,13,13,10,True,11,11,True,0,True,success,0,8
True,doi_4bb8968ff82f5bea,10,10.1038/s41467-025-61433-6,0.5,0.5,36,18,18,19,True,20,20,True,0,True,success,0,10
True,doi_82ae64a35463b16f,3,10.1038/s41467-026-69424-x,0.6363636363636364,0.6363636363636364,22,14,14,13,True,14,14,True,0,True,success,0,11
True,doi_8ba1a47eb43c7c7a,4,10.1038/s41536-026-00490-x,0.6666666666666666,0.7333333333333333,15,10,11,10,True,11,11,True,0,True,success,0,7
True,doi_1acf58ac7ae612c6,0,10.1038/s41586-025-09873-4,0.6,0.7,30,18,21,15,True,16,16,True,0,True,success,0,16
True,doi_24417aa331840447,2,10.1038/s41586-026-10524-5,0.8,0.8,30,24,24,16,True,17,17,True,0,True,success,0,15
True,doi_3e243ea8ca375133,2,10.1038/s41598-025-17390-7,0.7894736842105263,0.8947368421052632,19,15,17,14,True,15,15,True,0,True,success,0,13
True,doi_e0a51b9445e1bff7,5,10.1038/s42003-025-08296-1,0.5909090909090909,0.5909090909090909,22,13,13,10,True,11,11,True,0,True,success,0,6
True,doi_02c224052043b27f,3,10.1038/s42255-020-0200-2,0.25,0.6,20,5,12,11,True,12,12,True,0,True,success,0,9
True,doi_8b762107e7ec22eb,2,10.1038/s42255-026-01515-x,0.6296296296296297,0.7777777777777778,27,17,21,18,True,19,19,True,0,True,success,0,17
True,doi_48e3a065d7269ec5,2,10.1038/s43587-023-00451-9,0.8695652173913043,0.8695652173913043,23,20,20,16,True,17,17,True,0,True,success,0,15
True,doi_f488107ae51ecd57,4,10.1038/s43587-023-00460-8,1.0,1.0,33,33,33,18,True,19,19,False,0,True,success,0,15
True,doi_ed7083b490beff1d,2,10.1038/s43587-026-01100-7,0.7878787878787878,0.9090909090909091,33,26,30,19,True,20,20,True,0,True,success,0,18
True,doi_9bd21f903f00005b,6,10.1080/15548627.2025.2561073,0.18181818181818182,0.696969696969697,33,6,23,18,True,19,19,True,0,True,success,0,13
True,doi_3095090048b86d78,4,10.1093/bib/bbag271,0.8461538461538461,0.8461538461538461,13,11,11,9,True,10,10,True,0,True,success,0,6
True,doi_90f90bb445a6eae7,6,10.1093/brain/awaf282,0.48,0.72,25,12,18,16,True,17,17,True,0,True,success,0,11
True,doi_4d8760b707f819ef,4,10.1093/eurheartj/ehad361,0.5,0.6111111111111112,18,9,11,13,True,14,14,True,0,True,success,0,10
True,doi_f3d339a73c7aa4dd,2,10.1093/geroni/igaa057.414,0.7,0.95,20,14,19,16,True,17,17,True,0,True,success,0,15
True,doi_ce9a3dd301976d15,4,10.1093/geroni/igac059.2661,0.45454545454545453,1.0,22,10,22,20,True,21,21,True,0,True,success,0,17
True,doi_31256d2cb54f929e,3,10.1093/geroni/igad104.1942,0.23529411764705882,0.7647058823529411,17,4,13,15,True,16,16,True,0,True,success,0,13
True,doi_5cbb907c49d1a9a4,8,10.1093/geroni/igae098.2630,0.0625,0.875,16,1,14,14,True,15,15,True,0,True,success,0,7
True,doi_4a012b9c4a8fd193,2,10.1093/geroni/igaf122.3850,0.625,1.0,16,10,16,13,True,14,14,True,0,True,success,0,12
True,doi_02d3a54d640a3ffc,3,10.1093/plphys/kiaa034,0.875,0.875,16,14,14,8,True,9,9,True,0,True,success,0,6
True,doi_7aff681a45fab3b3,6,10.1097/md.0000000000047376,0.22727272727272727,0.8636363636363636,22,5,19,11,True,12,12,True,0,True,success,0,6
True,doi_dbb18a29ffa90eda,3,10.1101/2025.10.29.685384,0.55,0.8,20,11,16,13,True,14,14,True,0,True,success,0,11
True,doi_3235f5ac26693f37,8,10.1111/acel.13497,0.5263157894736842,0.7368421052631579,38,20,28,19,True,20,20,True,0,True,success,0,12
True,doi_f0e85b815134bf55,2,10.1111/acel.13852,0.3684210526315789,0.8947368421052632,19,7,17,12,True,13,13,True,0,True,success,0,11
True,doi_682a64714ac9f395,6,10.1111/acel.70064,0.3333333333333333,0.6190476190476191,21,7,13,17,True,18,18,True,0,True,success,0,12
True,doi_23b791406911bbd7,5,10.1111/acel.70103,0.47619047619047616,0.7142857142857143,21,10,15,15,True,16,16,True,0,True,success,0,11
True,doi_6a6e108f4e0bb76a,4,10.1111/acel.70328,0.3333333333333333,0.8333333333333334,18,6,15,13,True,14,14,True,0,True,success,0,10
True,doi_c94b578c4f19a44d,6,10.1111/acel.70498,0.5,0.9615384615384616,26,13,25,17,True,18,18,True,0,True,success,0,12
True,doi_7dcaf0c9d1fcc1f3,5,10.1111/acel.70564,0.5,0.8928571428571429,28,14,25,13,True,14,14,True,0,True,success,0,9
True,doi_3a71e49045b4f0b5,6,10.1126/sciadv.adu2294,0.5909090909090909,0.6818181818181818,22,13,15,13,True,14,14,True,0,True,success,0,8
True,doi_c3e25e42195e076b,8,10.1128/msystems.01665-24,0.3,0.7333333333333333,30,9,22,18,True,19,19,True,0,True,success,0,11
True,doi_bdba62868d595869,3,10.1161/circresaha.125.327427,0.8709677419354839,0.967741935483871,31,27,30,16,True,17,17,True,0,True,success,0,14
True,doi_069d73da3ebb5c9d,4,10.1172/jci.insight.154089,0.8181818181818182,0.8636363636363636,22,18,19,13,True,14,14,True,0,True,success,0,10
True,doi_e3200f6401ab8c4f,3,10.1172/jci.insight.174007,0.8888888888888888,1.0,18,16,18,11,True,12,12,True,0,True,success,0,9
True,doi_b45af27c360b7634,6,10.1186/s11658-026-00879-y,0.6363636363636364,0.9090909090909091,22,14,20,19,True,20,20,True,0,True,success,0,14
True,doi_9eec505bb5091c11,5,10.1186/s12964-026-02985-y,0.2413793103448276,0.8620689655172413,29,7,25,18,True,19,19,True,0,True,success,0,14
True,doi_b9624237438f1188,2,10.1186/s12967-026-07766-2,0.2857142857142857,0.9523809523809523,21,6,20,12,True,13,13,True,0,True,success,0,11
True,doi_cb984c038f0b425c,5,10.1186/s12974-025-03588-z,0.35,0.8,20,7,16,13,True,14,14,True,0,True,success,0,9
True,doi_25a9e2e17257fa49,6,10.1186/s13020-025-01154-6,0.047619047619047616,1.0,21,1,21,14,True,15,15,True,0,True,success,0,9
True,doi_48521c8851664232,3,10.1186/s13287-023-03415-3,0.42105263157894735,0.8947368421052632,19,8,17,12,True,13,13,True,0,True,success,0,10
,doi_ee21470c70e8986a,,10.1186/s13578-026-01594-z,,,,,,,,,,,,,insufficient_full_text,,
True,doi_bb39cc140aecb9bc,3,10.1186/s40364-023-00458-9,0.21739130434782608,0.34782608695652173,23,5,8,14,True,15,15,True,0,True,success,0,12
True,doi_607fb11b82e9523c,2,10.14336/ad.2026.0356,0.3333333333333333,0.7916666666666666,24,8,19,13,True,14,14,True,0,True,success,0,12
True,doi_472fd51f97cc3e5f,3,10.20892/j.issn.2095-3941.2025.0691,0.28,0.76,25,7,19,12,True,13,13,True,0,True,success,0,10
True,doi_2b6595596a732fb9,0,10.21037/tcr-2026-1-0264,1.0,1.0,2,2,2,2,True,3,3,False,0,True,success,0,3
True,doi_b40c5876af3cc4a0,3,10.21203/rs.3.rs-1264931/v1,0.92,0.96,25,23,24,16,True,17,17,True,0,True,success,0,14
True,doi_6f49e1073cfbdc76,1,10.2147/jir.s525168,0.5882352941176471,0.8823529411764706,17,10,15,10,True,11,11,True,0,True,success,0,10
True,doi_a8004e4211e0472d,2,10.2147/jir.s545622,0.4117647058823529,0.8235294117647058,17,7,14,11,True,12,12,True,0,True,success,0,10
True,doi_e8e389549079ffc8,2,10.26508/lsa.202201492,0.4583333333333333,0.4583333333333333,24,11,11,15,True,16,16,True,0,True,success,0,14
True,doi_c9d1be7c453392ef,8,10.26599/fshw.2026.9251125,0.4838709677419355,0.967741935483871,31,15,30,17,True,18,18,True,0,True,success,0,10
True,doi_98d4e104894e0025,5,10.3389/fendo.2025.1661666,0.4375,0.46875,32,14,15,13,True,14,14,True,0,True,success,0,9
True,doi_ba340ab24c1f20e5,1,10.3389/fimmu.2026.1762222,0.38461538461538464,0.5384615384615384,13,5,7,10,True,11,11,True,0,True,success,0,10
True,doi_99431ac6d84b8e2f,8,10.3389/fnmol.2026.1834102,0.8064516129032258,0.8387096774193549,31,25,26,19,True,20,20,True,0,True,success,0,12
True,doi_e9118cbd1cca5f11,4,10.3389/fphar.2024.1446300,0.6470588235294118,0.6764705882352942,34,22,23,14,True,15,15,True,0,True,success,0,11
True,doi_4b54110a1a6ace81,1,10.3390/microorganisms13061379,0.8666666666666667,0.9333333333333333,15,13,14,12,True,13,13,True,0,True,success,0,12
True,doi_fc55eaf97b778a04,2,10.3390/plants14152388,0.8181818181818182,0.8181818181818182,11,9,9,7,True,8,8,True,0,True,success,0,6
True,doi_4ef750481fadda92,1,10.3892/or.2026.9080,0.85,0.85,20,17,17,11,True,12,12,True,0,True,success,0,11
True,doi_58d62f64f1cfe345,5,10.64898/2026.07.09.736798,0.38461538461538464,0.6153846153846154,26,10,16,17,True,18,18,True,0,True,success,0,13
True,doi_ff403c494fa1c37f,4,10.7150/ijbs.129636,0.4090909090909091,0.8181818181818182,22,9,18,15,True,16,16,True,0,True,success,0,12
True,doi_962fd5242e56b114,3,10.7554/elife.71624,0.55,0.8,20,11,16,14,True,15,15,True,0,True,success,0,12
