document_id,doi,first_graph_sha256,second_graph_sha256,whole_graph_hash_exact,omics_layers_exact,omics_layers_jaccard,omics_layer_types_exact,omics_layer_types_jaccard,causal_methods_exact,causal_methods_jaccard,causal_family_status_exact,causal_family_status_jaccard,aging_constructs_exact,aging_constructs_jaccard
doi_def153153292e09c,10.1001/jamapsychiatry.2024.1429,67e5c8884c655098157286f55da62bc89aa1f89c6e3a7f4736879ddccb4d0c2a,67e5c8884c655098157286f55da62bc89aa1f89c6e3a7f4736879ddccb4d0c2a,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0
doi_26612e7f7d589ab5,10.1002/advs.202502249,55c2c933f86e7ba18f0cf581fa7f7fe7375cb997791a294da24b8adf9add66b4,55c2c933f86e7ba18f0cf581fa7f7fe7375cb997791a294da24b8adf9add66b4,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0
doi_5704cf32dffbadcf,10.1002/advs.202514269,14ccb13ba5bac826551e0932680b60f18764e238e9c575674474c9e605225a58,14ccb13ba5bac826551e0932680b60f18764e238e9c575674474c9e605225a58,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0
doi_3f3aeee2c0542606,10.1002/advs.202515370,711c3c5a9e100ee99cf2e65a45cc2cbe95cbb2625eb6c98631509b6879f35a37,711c3c5a9e100ee99cf2e65a45cc2cbe95cbb2625eb6c98631509b6879f35a37,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0
doi_e58973540cb0858a,10.1002/advs.202521633,5720edccd2b24b6ebe9354610dd1b2c4fe729e0072370179f035d41c79ab1e55,5720edccd2b24b6ebe9354610dd1b2c4fe729e0072370179f035d41c79ab1e55,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0
doi_8403d59885abe958,10.1002/ccs3.70045,4e93425010854ff1dfdb07ffb4dc18d8c19b86cd5118a9e9a72c82829567fa5f,4e93425010854ff1dfdb07ffb4dc18d8c19b86cd5118a9e9a72c82829567fa5f,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0
doi_64f83a5a55d8c29d,10.1002/ctm2.70527,2ff9862ee8924c6e4fd551956db3c3fde413c9f95d2596ab2ca66bcc16e33de4,2ff9862ee8924c6e4fd551956db3c3fde413c9f95d2596ab2ca66bcc16e33de4,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0
doi_0fdf1fe178e02028,10.1002/fsn3.71826,0309aeb96a4c6ed969bef73ef087577046c7ff51c149b30443fc384b419cca47,0309aeb96a4c6ed969bef73ef087577046c7ff51c149b30443fc384b419cca47,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0
doi_df9c04fe3eee2ae2,10.1002/imo2.70128,4b40a7a210a9c5e39637172b57de268033697f842f271d4f1b0f605ec359a6c0,4b40a7a210a9c5e39637172b57de268033697f842f271d4f1b0f605ec359a6c0,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0
doi_532149ab73857cb9,10.1002/imt2.70150,60ee6f83d161c125db1c6f3cca06de67b69af28d8b4bf12845df96f03837826f,60ee6f83d161c125db1c6f3cca06de67b69af28d8b4bf12845df96f03837826f,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0
doi_aa95b1781951b0d0,10.1007/s10753-026-02526-2,1033f9f41779170f4b8bee533fec12c59f4885e0c4c546cbc91274e1c26c9f22,1033f9f41779170f4b8bee533fec12c59f4885e0c4c546cbc91274e1c26c9f22,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0
doi_1567b42f384d1b6b,10.1007/s11306-023-02022-w,dd2dd8df1e9ede939fc62e02b752863a6118b00ad5a4ea582038973cbd930109,dd2dd8df1e9ede939fc62e02b752863a6118b00ad5a4ea582038973cbd930109,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0
