all_nodes_grounded,document_id,document_scope_nodes,doi,evidence_quote_exact_fraction,evidence_quote_normalized_fraction,evidence_quotes,evidence_quotes_exact,evidence_quotes_normalized,graph_edges,graph_hash_valid,graph_nodes,grounded_nodes,model_quotes_require_source_resolution,observed_nodes,provenance_hash_valid,status,unresolved_nodes,verbatim_nodes
True,record_6b4afdec1f09f3fb,0,,0.8,1.0,5,4,5,5,True,6,6,True,0,True,success,0,6
True,record_3d07247d162ae7ef,1,10.1002/ctm2.1006,1.0,1.0,8,8,8,8,True,9,9,False,0,True,success,0,8
True,record_2c267368c3e80777,1,10.1002/ctm2.317,0.8181818181818182,0.8181818181818182,11,9,9,8,True,9,9,True,0,True,success,0,8
True,record_6e1a08c196d61efd,1,10.1002/ctm2.70395,1.0,1.0,3,3,3,2,True,3,3,False,0,True,success,0,2
True,record_b3d19e34532aedd0,1,10.1002/wps.20675,0.5,0.6,10,5,6,10,True,11,11,True,0,True,success,0,10
True,record_e942f6146a3a2c38,1,10.1007/s00112-022-01643-0,0.16,0.6,25,4,15,16,True,17,17,True,0,True,success,0,16
True,record_4e74a9190fdd682c,6,10.1093/lifemedi/lnac018,0.6428571428571429,0.9285714285714286,14,9,13,14,True,15,15,True,0,True,success,0,9
True,record_387972fffcca9161,3,10.1093/lifemedi/lnac022,0.75,1.0,16,12,16,13,True,14,14,True,0,True,success,0,11
True,record_60a8d25353bb16e9,2,10.1093/lifemedi/lnae020,0.4583333333333333,0.9583333333333334,24,11,23,15,True,16,16,True,0,True,success,0,14
True,record_52f9121194c518e9,1,10.1093/neuonc/noab260,0.3076923076923077,0.6153846153846154,13,4,8,8,True,9,9,True,0,True,success,0,8
True,record_b411210b6772a8b4,0,10.1093/neuonc/noy148.258,0.6666666666666666,1.0,3,2,3,3,True,4,4,True,0,True,success,0,4
True,record_1c2b604c19ec6e35,0,10.1093/nsr/nwy136,1.0,1.0,2,2,2,2,True,3,3,False,0,True,success,0,3
True,record_0bfe1e3539c1aa8d,0,10.1093/plphys/kiaa059,1.0,1.0,5,5,5,5,True,6,6,False,0,True,success,0,6
True,record_7213871ffa36bd89,5,10.1101/2025.06.19.660635,0.9333333333333333,0.9333333333333333,15,14,14,11,True,12,12,True,0,True,success,0,7
True,record_c7a31d65907a5a22,0,10.1104/pp.104.900273,0.8,0.8,5,4,4,5,True,6,6,True,0,True,success,0,6
True,record_18396d62081dbae6,0,10.1104/pp.110.161430,1.0,1.0,5,5,5,5,True,6,6,False,0,True,success,0,6
True,record_886dc84058077672,0,10.1104/pp.113.900456,0.7272727272727273,0.9090909090909091,11,8,10,6,True,7,7,True,0,True,success,0,7
True,record_9bfcab3228efcc0a,0,10.1104/pp.17.00972,1.0,1.0,2,2,2,2,True,3,3,False,0,True,success,0,3
True,record_617d9f1627b221dd,0,10.1111/1751-7915.12181,0.75,0.75,8,6,6,6,True,7,7,True,0,True,success,0,7
True,record_74818d9cbf9f64d9,2,10.1111/jcmm.71017,0.16666666666666666,0.16666666666666666,6,1,1,3,True,4,4,True,0,True,success,0,2
True,record_3fde31c87059da83,1,10.1111/jdi.12150,0.9,0.9,10,9,9,10,True,11,11,True,0,True,success,0,10
True,record_bcb0c28f14350b67,1,10.1113/jp283190,1.0,1.0,4,4,4,4,True,5,5,False,0,True,success,0,4
True,record_d9e36d9af2e17056,3,10.1126/science.aau4732,0.8421052631578947,0.8947368421052632,19,16,17,12,True,13,13,True,0,True,success,0,10
True,record_8c13aeb870db80ab,0,10.1155/s1110724302207032,1.0,1.0,6,6,6,6,True,7,7,False,0,True,success,0,7
True,record_c5998d7c03f95202,0,10.1165/rcmb.2019-0156ed,1.0,1.0,1,1,1,1,True,2,2,False,0,True,success,0,2
True,record_1234ab5d45a2ac66,0,10.1165/rcmb.2021-0238ed,1.0,1.0,3,3,3,3,True,4,4,False,0,True,success,0,4
True,record_33041445b620efd6,2,10.1186/gm394,0.16666666666666666,0.3333333333333333,6,1,2,6,True,7,7,True,0,True,success,0,5
True,record_7a18762731b0932f,1,10.1186/s13027-022-00435-1,0.29411764705882354,0.9411764705882353,17,5,16,15,True,16,16,True,0,True,success,0,15
True,record_791b25de8b9c0345,1,10.1212/nxg.0000000000000100,1.0,1.0,15,15,15,12,True,13,13,False,0,True,success,0,12
True,record_845818d5db15ffeb,0,10.2215/cjn.14931218,1.0,1.0,2,2,2,2,True,3,3,False,0,True,success,0,3
True,record_49bbe4640759f77e,0,10.3389/fimmu.2026.1718849,0.5333333333333333,0.5333333333333333,15,8,8,9,True,10,10,True,0,True,success,0,10
True,record_908dcb418f258363,1,10.3389/fpls.2025.1550190,0.9,1.0,10,9,10,10,True,11,11,True,0,True,success,0,10
True,record_2ca1d12dec029906,1,10.34067/kid.0000000000000347,1.0,1.0,5,5,5,5,True,6,6,False,0,True,success,0,5
True,record_e56ea3fe568ed9d3,3,10.4103/1673-5374.217328,0.8666666666666667,0.8666666666666667,15,13,13,13,True,14,14,True,0,True,success,0,11
True,record_d72e82b03c105afa,0,10.4103/1673-5374.228719,0.8571428571428571,1.0,7,6,7,7,True,8,8,True,0,True,success,0,8
True,record_fa2a787d7b7e313f,1,10.4103/1673-5374.230283,1.0,1.0,8,8,8,8,True,9,9,False,0,True,success,0,8
True,record_85892bc9be91468c,1,10.4103/1673-5374.249223,0.9583333333333334,0.9583333333333334,24,23,23,12,True,13,13,True,0,True,success,0,12
True,record_463c190a81e3d433,0,10.4103/1673-5374.335807,0.0,0.0,1,0,0,1,True,2,2,True,0,True,success,0,2
True,record_009db7f07bdf8c55,0,10.4103/nrr.nrr-d-24-00646,1.0,1.0,10,10,10,6,True,7,7,False,0,True,success,0,7
True,record_359b55bfd81198ec,0,10.5281/zenodo.18644752,1.0,1.0,6,6,6,6,True,7,7,False,0,True,success,0,7
True,record_b32a3185695b6687,6,10.6092/unina/fedoa/10084,0.35,0.65,20,7,13,14,True,15,15,True,0,True,success,0,9
True,record_f33423c88d9ab200,0,10.69750/dmls.02.010.0160,,,0,0,0,0,True,1,1,False,0,True,success,0,1
True,record_d36fa145b6b3dfd1,1,10.69750/dmls.03.04.0200,1.0,1.0,1,1,1,1,True,2,2,False,0,True,success,0,1
True,record_8d523c76cce0d48c,0,10.7326/m16-0271,0.875,0.875,8,7,7,3,True,4,4,True,0,True,success,0,4
