all_nodes_grounded,document_id,document_scope_nodes,doi,evidence_quote_exact_fraction,evidence_quote_normalized_fraction,evidence_quotes,evidence_quotes_exact,evidence_quotes_normalized,graph_edges,graph_hash_valid,graph_nodes,grounded_nodes,model_quotes_require_source_resolution,observed_nodes,provenance_hash_valid,status,unresolved_nodes,verbatim_nodes
True,record_85d3e16c4d4ca16d,0,10.1002/alz.12278,0.9369085173501577,0.9547844374342797,951,891,908,821,True,822,822,True,182,True,success,0,640
True,record_09b5ae7be95a720a,0,10.1016/j.jid.2019.07.004,0.0,1.0,1,0,1,1,True,2,2,True,0,True,success,0,2
True,record_18004e7456e890d9,1,10.1093/ije/dyaa075,0.6,1.0,15,9,15,11,True,12,12,True,0,True,success,0,11
True,record_8102648f6cfdbe49,0,10.1093/nsr/nwx146,1.0,1.0,7,7,7,7,True,8,8,False,0,True,success,0,8
True,record_07359190d9dc502e,3,10.1096/fj.202100317,0.2727272727272727,0.6363636363636364,11,3,7,10,True,11,11,True,0,True,success,0,8
True,record_be5c487397295f72,0,10.1097/01.jcma.0001096048.54396.64,1.0,1.0,4,4,4,4,True,5,5,False,0,True,success,0,5
True,record_3c0245b9ab08c2bd,0,10.1097/hjh.0b013e32834ee23c,0.8333333333333334,0.8333333333333334,6,5,5,6,True,7,7,True,0,True,success,0,7
True,record_99f473dea3d4752a,0,10.1111/bjd.21182,1.0,1.0,2,2,2,2,True,3,3,False,0,True,success,0,3
True,record_bce5e182c440a7ff,0,10.1111/exd.12771,0.6666666666666666,0.6666666666666666,3,2,2,3,True,4,4,True,0,True,success,0,4
True,record_6eaf1c42e5741782,0,10.1111/gbb.12646,1.0,1.0,6,6,6,5,True,6,6,False,0,True,success,0,6
True,record_890b76a9df53fc29,0,10.1111/nbu.12575,1.0,1.0,2,2,2,2,True,3,3,False,0,True,success,0,3
True,record_89b5443d3070819a,1,10.1113/jp287235,0.625,0.875,8,5,7,8,True,9,9,True,0,True,success,0,8
True,record_3d2e81101a4efc7b,1,10.1158/1538-7445.am2025-sy02-01,1.0,1.0,15,15,15,11,True,12,12,False,0,True,success,0,11
True,record_1b6534b19f85ff5a,12,10.4081/ejtm.2026.14960,0.45,0.825,40,18,33,32,True,33,33,True,0,True,success,0,21
True,record_f257916f64f084eb,0,10.4103/nrr.nrr-d-25-00422,0.75,1.0,4,3,4,4,True,5,5,True,0,True,success,0,5
True,record_6655c6d6751743bb,1,10.5281/zenodo.20257527,0.6666666666666666,1.0,3,2,3,2,True,3,3,True,0,True,success,0,2
True,record_e4b0b5520a4d2e2c,2,10.7936/zw5q-8j61,0.8888888888888888,0.9444444444444444,18,16,17,9,True,10,10,True,0,True,success,0,8
